Mon May  9 16:53:45 2022    Output.dat

         39877722 function calls (38825456 primitive calls) in 20.821 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1762    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(concatenate)
      864    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\lines.py:1149(_set_markercolor)
      984    0.001    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\colors.py:152(to_rgba)
      354    0.001    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:1996(rotate)
      442    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
     1640    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\enum.py:313(__call__)
    428/4    0.001    0.000    0.091    0.023 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:32(draw_wrapper)
      288    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\lines.py:1087(set_linestyle)
     1662    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\contextlib.py:238(helper)
      768    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\font_manager.py:1206(score_weight)
     1494    0.001    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\colors.py:106(_is_nth_color)
      252    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:2057(scale)
      652    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:2044(translate)
      926    0.001    0.000    0.004    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:2508(composite_transform_factory)
     1502    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\re.py:188(match)
     1505    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\re.py:289(_compile)
     1536    0.001    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\lib\function_base.py:4762(append)
     1290    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:170(invalidate)
     6292    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:266(axes)
     1508    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.001    0.001    0.001    0.001 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\font_manager.py:1403(_get_font)
       67    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\pathlib.py:64(parse_parts)
  252/226    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:2441(get_affine)
      157    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\lib\stride_tricks.py:414(_broadcast_shape)
      176    0.001    0.000    0.013    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\font_manager.py:1248(findfont)
     2660    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      542    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\markers.py:266(_set_fillstyle)
