Mon May  9 16:53:45 2022    output.dat

         39877722 function calls (38825456 primitive calls) in 20.821 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      448    0.000    0.000    0.000    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:1160(set_y)
  444/160    0.000    0.000    0.015    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\axes\_base.py:839(get_xaxis_transform)
  444/160    0.000    0.000    0.016    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\axes\_base.py:915(get_yaxis_transform)
      442    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
      440    0.000    0.000    0.000    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\_api\__init__.py:80(<genexpr>)
    428/4    0.001    0.000    0.091    0.023 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:32(draw_wrapper)
      418    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:957(set_horizontalalignment)
      418    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:1195(set_verticalalignment)
      410    0.000    0.000    0.000    0.000 {built-in method math.cos}
      410    0.000    0.000    0.000    0.000 {built-in method math.sin}
  408/256    0.000    0.000    0.030    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\spines.py:200(_ensure_position_is_set)
  408/256    0.001    0.000    0.031    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\spines.py:330(get_spine_transform)
      406    0.000    0.000    0.000    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:193(_reshape_dispatcher)
      406    0.000    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:198(reshape)
      406    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(reshape)
      406    0.000    0.000    0.005    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:822(from_extents)
      400    0.000    0.000    0.000    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:1111(sticky_edges)
